parameter	renewable_signal(interval)	/
499	0.00598935	
500	0.00632209	
501	0.00665484	
502	0.00698758	
503	0.00732032	
504	0.00765306	
505	0.00532387	
506	0.00571207	
507	0.00610027	
508	0.00648846	
509	0.00687666	
510	0.00726486	
511	0.00765306	
512	0.00804126	
513	0.00842946	
514	0.00881766	
515	0.00920586	
516	0.00959406	
517	0.00687666	
518	0.00626664	
519	0.00565661	
520	0.00504658	
521	0.00443656	
522	0.00382653	
523	0.0032165	
524	0.00260648	
525	0.00199645	
526	0.00138642	
527	0.000776398	
528	0.000166371	
529	0.00443656	
530	0.00454747	
531	0.00465839	
532	0.0047693	
533	0.00488021	
534	0.00499113	
535	0.00510204	
536	0.00521295	
537	0.00532387	
538	0.00543478	
539	0.0055457	
540	0.00565661	
541	0.00488021	
542	0.00454747	
543	0.00421473	
544	0.00388199	
545	0.00354925	
546	0.0032165	
547	0.00288376	
548	0.00255102	
549	0.00221828	
550	0.00188554	
551	0.0015528	
552	0.00122005	
553	0.00354925	
554	0.00299468	
555	0.00244011	
556	0.00188554	
557	0.00133097	
558	0.000776398	
559	0.000221828	
560	-0.000332742	
561	-0.000887311	
562	-0.00144188	
563	-0.00199645	
564	-0.00255102	
565	0.00133097	
566	0.0011646	
567	0.000998225	
568	0.000831854	
569	0.000665484	
570	0.000499113	
571	0.000332742	
572	0.000166371	
573	0	
574	-0.000166371	
575	-0.000332742	
576	-0.000499113	
577	0.000665484	
578	0.000942768	
579	0.00122005	
580	0.00149734	
581	0.00177462	
582	0.00205191	
583	0.00232919	
584	0.00260648	
585	0.00288376	
586	0.00316105	
587	0.00343833	
588	0.00371562	
589	0.00177462	
590	0.00232919	
591	0.00288376	
592	0.00343833	
593	0.0039929	
594	0.00454747	
595	0.00510204	
596	0.00565661	
597	0.00621118	
598	0.00676575	
599	0.00732032	
600	0.00787489	
601	0.0039929	
602	0.00504658	
603	0.00610027	
604	0.00715395	
605	0.00820763	
606	0.00926131	
607	0.010315	
608	0.0113687	
609	0.0124224	
610	0.013476	
611	0.0145297	
612	0.0155834	
613	0.00820763	
614	0.00643301	
615	0.00465839	
616	0.00288376	
617	0.00110914	
618	-0.000665484	
619	-0.00244011	
620	-0.00421473	
621	-0.00598935	
622	-0.00776398	
623	-0.0095386	
624	-0.0113132	
625	0.00110914	
626	0.00277285	
627	0.00443656	
628	0.00610027	
629	0.00776398	
630	0.00942768	
631	0.0110914	
632	0.0127551	
633	0.0144188	
634	0.0160825	
635	0.0177462	
636	0.0194099	
637	0.00776398	
638	0.00909494	
639	0.0104259	
640	0.0117569	
641	0.0130878	
642	0.0144188	
643	0.0157498	
644	0.0170807	
645	0.0184117	
646	0.0197427	
647	0.0210736	
648	0.0224046	
649	0.0130878	
650	0.0108141	
651	0.00854037	
652	0.00626664	
653	0.0039929	
654	0.00171917	
655	-0.00055457	
656	-0.00282831	
657	-0.00510204	
658	-0.00737578	
659	-0.00964951	
660	-0.0119232	
661	0.0039929	
662	0.00366016	
663	0.00332742	
664	0.00299468	
665	0.00266193	
666	0.00232919	
667	0.00199645	
668	0.00166371	
669	0.00133097	
670	0.000998225	
671	0.000665484	
672	0.000332742	
673	0.00266193	
674	0.00232919	
675	0.00199645	
676	0.00166371	
677	0.00133097	
678	0.000998225	
679	0.000665484	
680	0.000332742	
681	0	
682	-0.000332742	
683	-0.000665484	
684	-0.000998225	
685	0.00133097	
686	0.00133097	
687	0.00133097	
688	0.00133097	
689	0.00133097	
690	0.00133097	
691	0.00133097	
692	0.00133097	
693	0.00133097	
694	0.00133097	
695	0.00133097	
696	0.00133097	
697	0.00133097	
698	0.00149734	
699	0.00166371	
700	0.00183008	
701	0.00199645	
702	0.00216282	
703	0.00232919	
704	0.00249556	
705	0.00266193	
706	0.00282831	
707	0.00299468	
708	0.00316105	
709	0.00199645	
710	0.00188554	
711	0.00177462	
712	0.00166371	
713	0.0015528	
714	0.00144188	
715	0.00133097	
716	0.00122005	
717	0.00110914	
718	0.000998225	
719	0.000887311	
720	0.000776398	
721	0.0015528	
722	0.00177462	
723	0.00199645	
724	0.00221828	
725	0.00244011	
726	0.00266193	
727	0.00288376	
728	0.00310559	
729	0.00332742	
730	0.00354925	
731	0.00377107	
732	0.0039929	
733	0.00244011	
734	0.00249556	
735	0.00255102	
736	0.00260648	
737	0.00266193	
738	0.00271739	
739	0.00277285	
740	0.00282831	
741	0.00288376	
742	0.00293922	
743	0.00299468	
744	0.00305013	
745	0.00266193	
746	0.00271739	
747	0.00277285	
748	0.00282831	
749	0.00288376	
750	0.00293922	
751	0.00299468	
752	0.00305013	
753	0.00310559	
754	0.00316105	
755	0.0032165	
756	0.00327196	
757	0.00288376	
758	0.0100377	
759	0.0171917	
760	0.0243456	
761	0.0314996	
762	0.0386535	
763	0.0458075	
764	0.0529614	
765	0.0601154	
766	0.0672693	
767	0.0744232	
768	0.0815772	
769	0.0314996	
770	0.0577862	
771	0.0840728	
772	0.110359	
773	0.136646	
774	0.162933	
775	0.189219	
776	0.215506	
777	0.241792	
778	0.268079	
779	0.294366	
780	0.320652	
781	0.136646	
782	0.141415	
783	0.146185	
784	0.150954	
785	0.155723	
786	0.160492	
787	0.165262	
788	0.170031	
789	0.1748	
790	0.17957	
791	0.184339	
792	0.189108	
793	0.155723	
794	0.167314	
795	0.178904	
796	0.190495	
797	0.202085	
798	0.213676	
799	0.225266	
800	0.236857	
801	0.248447	
802	0.260038	
803	0.271628	
804	0.283219	
805	0.202085	
806	0.185226	
807	0.168367	
808	0.151508	
809	0.13465	
810	0.117791	
811	0.100932	
812	0.0840728	
813	0.0672138	
814	0.0503549	
815	0.033496	
816	0.0166371	
817	0.13465	
818	0.116792	
819	0.0989352	
820	0.0810781	
821	0.0632209	
822	0.0453638	
823	0.0275067	
824	0.00964951	
825	-0.00820763	
826	-0.0260648	
827	-0.0439219	
828	-0.0617791	
829	0.0632209	
830	0.0608917	
831	0.0585626	
832	0.0562334	
833	0.0539042	
834	0.051575	
835	0.0492458	
836	0.0469166	
837	0.0445874	
838	0.0422582	
839	0.039929	
840	0.0375998	
841	0.0539042	
842	0.0473048	
843	0.0407054	
844	0.034106	
845	0.0275067	
846	0.0209073	
847	0.0143079	
848	0.00770852	
849	0.00110914	
850	-0.00549024	
851	-0.0120896	
852	-0.018689	
853	0.0275067	
854	0.0242902	
855	0.0210736	
856	0.0178571	
857	0.0146406	
858	0.0114241	
859	0.00820763	
860	0.00499113	
861	0.00177462	
862	-0.00144188	
863	-0.00465839	
864	-0.00787489	
865	0.0146406	
866	0.0144188	
867	0.014197	
868	0.0139752	
869	0.0137533	
870	0.0135315	
871	0.0133097	
872	0.0130878	
873	0.012866	
874	0.0126442	
875	0.0124224	
876	0.0122005	
877	0.0137533	
878	0.0134206	
879	0.0130878	
880	0.0127551	
881	0.0124224	
882	0.0120896	
883	0.0117569	
884	0.0114241	
885	0.0110914	
886	0.0107587	
887	0.0104259	
888	0.0100932	
889	0.0124224	
890	0.012866	
891	0.0133097	
892	0.0137533	
893	0.014197	
894	0.0146406	
895	0.0150843	
896	0.015528	
897	0.0159716	
898	0.0164153	
899	0.0168589	
900	0.0173026	
901	0.014197	
902	0.0155834	
903	0.0169698	
904	0.0183563	
905	0.0197427	
906	0.0211291	
907	0.0225155	
908	0.023902	
909	0.0252884	
910	0.0266748	
911	0.0280612	
912	0.0294476	
913	0.0197427	
914	0.02124	
915	0.0227374	
916	0.0242347	
917	0.025732	
918	0.0272294	
919	0.0287267	
920	0.030224	
921	0.0317214	
922	0.0332187	
923	0.0347161	
924	0.0362134	
925	0.025732	
926	0.0247338	
927	0.0237356	
928	0.0227374	
929	0.0217391	
930	0.0207409	
931	0.0197427	
932	0.0187445	
933	0.0177462	
934	0.016748	
935	0.0157498	
936	0.0147516	
937	0.0217391	
938	0.0222382	
939	0.0227374	
940	0.0232365	
941	0.0237356	
942	0.0242347	
943	0.0247338	
944	0.0252329	
945	0.025732	
946	0.0262311	
947	0.0267303	
948	0.0272294	
949	0.0237356	
950	0.0224601	
951	0.0211846	
952	0.0199091	
953	0.0186335	
954	0.017358	
955	0.0160825	
956	0.014807	
957	0.0135315	
958	0.012256	
959	0.0109805	
960	0.00970497	
961	0.0186335	
962	0.0182453	
963	0.0178571	
964	0.0174689	
965	0.0170807	
966	0.0166925	
967	0.0163043	
968	0.0159161	
969	0.015528	
970	0.0151398	
971	0.0147516	
972	0.0143634	
973	0.0170807	
974	0.0149179	
975	0.0127551	
976	0.0105923	
977	0.00842946	
978	0.00626664	
979	0.00410382	
980	0.00194099	
981	-0.000221828	
982	-0.00238465	
983	-0.00454747	
984	-0.00671029	
985	0.00842946	
986	0.0110914	
987	0.0137533	
988	0.0164153	
989	0.0190772	
990	0.0217391	
991	0.0244011	
992	0.027063	
993	0.0297249	
994	0.0323869	
995	0.0350488	
996	0.0377107	
997	0.0190772	
998	0.0158052	
999	0.0125333	
1000	0.00926131	
1001	0.00598935	
1002	0.00271739	
1003	-0.00055457	
1004	-0.00382653	
1005	-0.00709849	
1006	-0.0103705	
1007	-0.0136424	
1008	-0.0169144	
1009	0.00598935	
1010	0.00560115	
1011	0.00521295	
1012	0.00482476	
1013	0.00443656	
1014	0.00404836	
1015	0.00366016	
1016	0.00327196	
1017	0.00288376	
1018	0.00249556	
1019	0.00210736	
1020	0.00171917	
1021	0.00443656	
1022	0.00471384	
1023	0.00499113	
1024	0.00526841	
1025	0.0055457	
1026	0.00582298	
