Run on a MSNT machine on 11/27/18 15:46:09.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),     2.000000
Renewable Penetration for Input (%),     0.000000
hydrogen use,     1.000000

actual operating profit, -5.247869E+5
total electricity input (MWh),  7198.260899
total electricity output (MWh),     0.000000
output to input ratio,     0.000000
input capacity factor,     0.821719
output capacity factor,     0.000000
average regup (MW),     0.000000
average regdn (MW),     0.000000
average spinres (MW),     0.000000
average nonspinres (MW),     0.000000
number of input power system starts,  8760.000000
number of output power system starts,  8760.000000
arbitrage revenue ($),-6.424007E+5
regup revenue ($),     0.000000
regdn revenue ($),     0.000000
spinres revenue ($),     0.000000
nonspinres revenue ($),     0.000000
hydrogen revenue ($), 7.9538794E+5
REC revenue ($),     0.000000
LCFS revenue ($), 1.3948711E+5
startup costs ($),     0.000000

Interval,Input Power (MW),Output Power (MW),Storage Level (MW-h),Input Reg Up (MW),Output Reg Up (MW),Input Reg Dn (MW),Output Reg Dn (MW),Input Spin (MW),Output Spin (MW),Input Nonspin (MW),Output Nonspin (MW),H2 Sold (kg),Non-Ren Import (MW),Load Profile (MW),Renewable Input (MW),Renewables Sold (MW),Curtailment (MW)
 2635.000000,    0.818748,    0.000000,    7.133874,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2636.000000,    0.818748,    0.000000,    7.132051,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2637.000000,    0.818748,    0.000000,    7.130228,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2638.000000,    0.818748,    0.000000,    7.128404,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2639.000000,    0.818748,    0.000000,    7.126581,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2640.000000,    0.818748,    0.000000,    7.124757,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2641.000000,    0.818748,    0.000000,    7.122934,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2642.000000,    0.818748,    0.000000,    7.121110,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2643.000000,    0.818748,    0.000000,    7.119287,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2644.000000,    0.818748,    0.000000,    7.117464,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2645.000000,    0.818748,    0.000000,    7.115640,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2646.000000,    0.818748,    0.000000,    7.113817,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2647.000000,    0.818748,    0.000000,    7.111993,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2648.000000,    0.818748,    0.000000,    7.110170,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2649.000000,    0.818748,    0.000000,    7.108347,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2650.000000,    0.818748,    0.000000,    7.106523,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2651.000000,    0.818748,    0.000000,    7.104700,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2652.000000,    0.818748,    0.000000,    7.102876,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2653.000000,    0.818748,    0.000000,    7.101053,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2654.000000,    0.818748,    0.000000,    7.099229,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2655.000000,    0.818748,    0.000000,    7.097406,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2656.000000,    0.818748,    0.000000,    7.095583,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2657.000000,    0.818748,    0.000000,    7.093759,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2658.000000,    0.818748,    0.000000,    7.091936,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2659.000000,    0.818748,    0.000000,    7.090112,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2660.000000,    0.818748,    0.000000,    7.088289,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2661.000000,    0.818748,    0.000000,    7.086465,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2662.000000,    0.818748,    0.000000,    7.084642,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2663.000000,    0.818748,    0.000000,    7.082819,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2664.000000,    0.818748,    0.000000,    7.080995,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2665.000000,    0.818748,    0.000000,    7.079172,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2666.000000,    0.818748,    0.000000,    7.077348,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2667.000000,    0.818748,    0.000000,    7.075525,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2668.000000,    0.818748,    0.000000,    7.073701,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2669.000000,    0.818748,    0.000000,    7.071878,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2670.000000,    0.818748,    0.000000,    7.070055,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2671.000000,    0.818748,    0.000000,    7.068231,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2672.000000,    0.818748,    0.000000,    7.066408,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2673.000000,    0.818748,    0.000000,    7.064584,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2674.000000,    0.818748,    0.000000,    7.062761,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2675.000000,    0.818748,    0.000000,    7.060938,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2676.000000,    0.818748,    0.000000,    7.059114,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2677.000000,    0.818748,    0.000000,    7.057291,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2678.000000,    0.818748,    0.000000,    7.055467,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2679.000000,    0.818748,    0.000000,    7.053644,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2680.000000,    0.818748,    0.000000,    7.051820,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2681.000000,    0.818748,    0.000000,    7.049997,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2682.000000,    0.818748,    0.000000,    7.048174,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2683.000000,    0.818748,    0.000000,    7.046350,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2684.000000,    0.818748,    0.000000,    7.044527,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2685.000000,    0.818748,    0.000000,    7.042703,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2686.000000,    0.818748,    0.000000,    7.040880,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2687.000000,    0.818748,    0.000000,    7.039056,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2688.000000,    0.818748,    0.000000,    7.037233,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2689.000000,    0.818748,    0.000000,    7.035410,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2690.000000,    0.818748,    0.000000,    7.033586,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2691.000000,    0.818748,    0.000000,    7.031763,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2692.000000,    0.818748,    0.000000,    7.029939,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2693.000000,    0.818748,    0.000000,    7.028116,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2694.000000,    0.818748,    0.000000,    7.026293,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2695.000000,    0.818748,    0.000000,    7.024469,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2696.000000,    0.818748,    0.000000,    7.022646,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2697.000000,    0.818748,    0.000000,    7.020822,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2698.000000,    0.818748,    0.000000,    7.018999,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2699.000000,    0.818748,    0.000000,    7.017175,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2700.000000,    0.818748,    0.000000,    7.015352,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2701.000000,    0.818748,    0.000000,    7.013529,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2702.000000,    0.818748,    0.000000,    7.011705,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2703.000000,    0.818748,    0.000000,    7.009882,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2704.000000,    0.818748,    0.000000,    7.008058,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2705.000000,    0.818748,    0.000000,    7.006235,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2706.000000,    0.818748,    0.000000,    7.004411,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2707.000000,    0.818748,    0.000000,    7.002588,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2708.000000,    0.818748,    0.000000,    7.000765,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2709.000000,    0.818748,    0.000000,    6.998941,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2710.000000,    0.818748,    0.000000,    6.997118,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2711.000000,    0.818748,    0.000000,    6.995294,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2712.000000,    0.818748,    0.000000,    6.993471,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2713.000000,    0.818748,    0.000000,    6.991647,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2714.000000,    0.818748,    0.000000,    6.989824,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2715.000000,    0.818748,    0.000000,    6.988001,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2716.000000,    0.818748,    0.000000,    6.986177,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2717.000000,    0.818748,    0.000000,    6.984354,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2718.000000,    0.818748,    0.000000,    6.982530,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2719.000000,    0.818748,    0.000000,    6.980707,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2720.000000,    0.818748,    0.000000,    6.978884,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2721.000000,    0.818748,    0.000000,    6.977060,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2722.000000,    0.818748,    0.000000,    6.975237,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2723.000000,    0.818748,    0.000000,    6.973413,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2724.000000,    0.818748,    0.000000,    6.971590,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2725.000000,    0.818748,    0.000000,    6.969766,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2726.000000,    0.818748,    0.000000,    6.967943,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2727.000000,    0.818748,    0.000000,    6.966120,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2728.000000,    0.818748,    0.000000,    6.964296,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2729.000000,    0.818748,    0.000000,    6.962473,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2730.000000,    0.818748,    0.000000,    6.960649,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2731.000000,    0.818748,    0.000000,    6.958826,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2732.000000,    0.818748,    0.000000,    6.957002,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2733.000000,    0.818748,    0.000000,    6.955179,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2734.000000,    0.818748,    0.000000,    6.953356,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2735.000000,    0.818748,    0.000000,    6.951532,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2736.000000,    0.818748,    0.000000,    6.949709,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2737.000000,    0.818748,    0.000000,    6.947885,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2738.000000,    0.818748,    0.000000,    6.946062,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2739.000000,    0.818748,    0.000000,    6.944239,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2740.000000,    0.818748,    0.000000,    6.942415,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2741.000000,    0.818748,    0.000000,    6.940592,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2742.000000,    0.818748,    0.000000,    6.938768,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2743.000000,    0.818748,    0.000000,    6.936945,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2744.000000,    0.818748,    0.000000,    6.935121,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2745.000000,    0.818748,    0.000000,    6.933298,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2746.000000,    0.818748,    0.000000,    6.931475,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2747.000000,    0.818748,    0.000000,    6.929651,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2748.000000,    0.818748,    0.000000,    6.927828,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2749.000000,    0.818748,    0.000000,    6.926004,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2750.000000,    0.818748,    0.000000,    6.924181,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2751.000000,    0.818748,    0.000000,    6.922357,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2752.000000,    0.818748,    0.000000,    6.920534,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2753.000000,    0.818748,    0.000000,    6.918711,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2754.000000,    0.818748,    0.000000,    6.916887,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2755.000000,    0.818748,    0.000000,    6.915064,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
 2756.000000,    0.818748,    0.000000,    6.913240,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   15.132952,    0.818748,    0.000000,    0.000000,    0.000000,    0.000000
